A,Time
84400,5.12000524822e-06
84500,4.86400497834e-06
84600,5.12000524111e-06
84700,5.12000524111e-06
84800,4.86400497834e-06
84900,4.86400498545e-06
85000,5.12000524822e-06
85100,5.12000524111e-06
85200,4.86400497834e-06
85300,5.12000524111e-06
85400,5.12000524111e-06
85500,4.86400498545e-06
85600,5.12000524822e-06
85700,5.12000524111e-06
85800,5.12000524111e-06
85900,5.63200576664e-06
86000,5.12000524111e-06
86100,5.12000524111e-06
86200,5.12000524111e-06
86300,5.12000524111e-06
86400,5.12000524822e-06
86500,5.12000524111e-06
86600,5.12000524111e-06
86700,5.12000524111e-06
86800,5.12000524111e-06
86900,5.12000524111e-06
87000,4.86400498545e-06
87100,4.86400497834e-06
87200,5.12000524111e-06
87300,4.86400497834e-06
87400,5.12000524111e-06
87500,4.86400498545e-06
87600,5.12000524822e-06
87700,5.12000524822e-06
87800,5.12000524111e-06
87900,5.12000524111e-06
88000,4.86400497834e-06
88100,4.86400497834e-06
88200,5.12000524822e-06
88300,4.86400498545e-06
88400,5.12000524111e-06
88500,5.12000524111e-06
88600,5.12000524111e-06
88700,5.12000524111e-06
88800,5.12000524822e-06
88900,4.86400498545e-06
89000,4.86400498545e-06
89100,5.12000524111e-06
89200,5.12000524111e-06
89300,5.12000524111e-06
89400,4.86400497834e-06
89500,5.12000524822e-06
89600,5.12000524822e-06
89700,4.86400497834e-06
89800,5.12000524111e-06
89900,4.86400497834e-06
90000,5.12000524111e-06
90100,4.86400497834e-06
90200,4.86400498545e-06
90300,5.12000524822e-06
90400,5.12000524111e-06
90500,5.12000524111e-06
90600,4.86400497834e-06
90700,4.86400497834e-06
90800,5.12000524111e-06
90900,4.86400498545e-06
91000,5.12000524111e-06
91100,5.12000524111e-06
91200,5.12000524111e-06
91300,5.12000524111e-06
91400,4.86400497834e-06
91500,5.12000524111e-06
91600,5.12000524822e-06
91700,5.12000524822e-06
91800,4.86400497834e-06
91900,5.12000524111e-06
92000,4.86400497834e-06
92100,4.86400498545e-06
92200,5.12000524822e-06
92300,4.86400497834e-06
92400,4.86400497834e-06
92500,4.86400497834e-06
92600,5.12000524111e-06
92700,5.12000524111e-06
92800,5.12000524111e-06
92900,5.12000524822e-06
93000,5.12000524822e-06
93100,4.86400497834e-06
93200,4.86400497834e-06
93300,4.86400497834e-06
93400,4.86400497834e-06
93500,4.86400497834e-06
93600,5.12000524111e-06
93700,4.86400498545e-06
93800,4.86400498545e-06
93900,5.12000524111e-06
94000,4.86400497834e-06
94100,4.86400497834e-06
94200,4.86400497834e-06
94300,4.86400497834e-06
94400,5.12000524111e-06
94500,5.12000524111e-06
94600,5.12000524111e-06
94700,5.12000524822e-06
94800,5.12000524111e-06
94900,4.86400497834e-06
95000,5.12000524111e-06
95100,5.12000524111e-06
95200,4.86400497834e-06
95300,5.12000524111e-06
95400,4.86400498545e-06
95500,5.12000524822e-06
95600,4.86400497834e-06
95700,5.12000524111e-06
95800,5.12000524111e-06
95900,4.86400497834e-06
96000,4.86400497834e-06
96100,5.12000524822e-06
96200,5.12000524822e-06
96300,5.12000524111e-06
96400,5.12000524111e-06
96500,5.12000524111e-06
96600,5.12000524111e-06
96700,5.12000524111e-06
96800,5.12000524111e-06
96900,4.86400498545e-06
97000,4.86400498545e-06
97100,5.12000524111e-06
97200,4.86400497834e-06
97300,4.86400497834e-06
97400,5.12000524111e-06
97500,4.86400497834e-06
97600,5.12000524822e-06
97700,5.12000524822e-06
97800,5.12000524111e-06
97900,5.12000524111e-06
98000,5.12000524111e-06
98100,5.12000524111e-06
98200,4.86400497834e-06
98300,4.86400497834e-06
98400,5.12000524822e-06
98500,5.12000524822e-06
98600,5.12000524111e-06
98700,5.12000524111e-06
98800,5.12000524111e-06
98900,5.12000524111e-06
99000,5.12000524111e-06
99100,5.12000524111e-06
99200,5.12000524111e-06
99300,5.12000524822e-06
99400,4.86400498545e-06
99500,5.12000524111e-06
99600,4.86400497834e-06
99700,4.86400497834e-06
99800,5.12000524111e-06
99900,5.12000524111e-06
100000,4.86400498545e-06
100100,4.86400498545e-06
100200,4.86400497834e-06
100300,4.86400497834e-06
100400,4.86400498545e-06
100500,5.12000524822e-06
100600,4.86400497834e-06
100700,5.12000524111e-06
100800,5.12000524111e-06
100900,4.86400497834e-06
101000,5.12000524111e-06
101100,4.86400498545e-06
101200,5.12000524822e-06
101300,4.86400497834e-06
101400,5.12000524111e-06
101500,5.12000524111e-06
101600,4.86400497834e-06
101700,4.86400497834e-06
101800,4.86400498545e-06
101900,5.12000524822e-06
102000,5.12000524111e-06
102100,4.86400497834e-06
102200,5.12000524111e-06
102300,4.86400497834e-06
102400,4.86400497834e-06
102500,4.86400497834e-06
102600,4.86400498545e-06
102700,5.12000524822e-06
102800,5.37600550388e-06
102900,5.63200576664e-06
103000,5.12000524822e-06
103100,5.12000524822e-06
103200,4.86400497834e-06
103300,5.12000524111e-06
103400,4.86400497834e-06
103500,5.12000524111e-06
103600,5.12000524111e-06
103700,4.86400498545e-06
103800,5.12000524111e-06
103900,5.12000524111e-06
104000,4.86400497834e-06
104100,4.86400497834e-06
104200,4.86400497834e-06
104300,4.86400498545e-06
104400,5.12000524822e-06
104500,5.12000524111e-06
104600,4.86400497834e-06
104700,5.12000524111e-06
104800,5.12000524111e-06
104900,5.12000524111e-06
105000,4.86400498545e-06
105100,5.12000524111e-06
105200,5.12000524111e-06
105300,5.12000524111e-06
105400,5.12000524111e-06
105500,5.12000524111e-06
105600,4.86400497834e-06
105700,5.12000524822e-06
105800,4.86400498545e-06
105900,5.12000524111e-06
106000,5.12000524111e-06
106100,4.86400497834e-06
106200,4.86400497834e-06
106300,5.12000524822e-06
106400,5.12000524822e-06
106500,5.12000524111e-06
106600,5.12000524111e-06
106700,4.86400497834e-06
106800,4.86400497834e-06
106900,5.12000524111e-06
107000,4.86400498545e-06
107100,4.86400498545e-06
107200,4.86400498545e-06
107300,5.12000524111e-06
107400,5.12000524111e-06
107500,5.12000524111e-06
